"Jahr";"Frauen Arbeitsuchende ";"Männer Arbeitsuchende ";"Arbeitsuchende "
"2015";"1.813.882";"2.001.283";"3.815.164"
"2016";"1.683.479";"1.868.728";"3.552.212"
"2017";"1.562.317";"1.731.713";"3.294.038"
"2018";"1.434.980";"1.588.436";"3.023.422"
"2019";"1.360.438";"1.539.431";"2.899.883"
"2020";"1.454.548";"1.704.738";"3.159.307"
"2021";"1.402.536";"1.647.745";"3.050.304"
"2022";"1.258.662";"1.465.235";"2.723.924"
"2023";"1.234.062";"1.456.468";"2.690.530"
"2024";"1.237.924";"1.498.513";"2.736.438"
