,GES,ALT,Value
4611,GESM,0,297678
4612,GESM,1,320129
4613,GESM,2,347372
4614,GESM,3,340031
4615,GESM,4,341695
4616,GESM,5,347787
4617,GESM,6,351668
4618,GESM,7,354011
4619,GESM,8,346033
4620,GESM,9,343852
4621,GESM,10,333232
4622,GESM,11,333190
4623,GESM,12,329119
4624,GESM,13,337938
4625,GESM,14,333476
4626,GESM,15,342603
4627,GESM,16,343391
4628,GESM,17,338621
4629,GESM,18,344430
4630,GESM,19,349612
4631,GESM,20,343821
4632,GESM,21,351507
4633,GESM,22,360718
4634,GESM,23,376297
4635,GESM,24,370050
4636,GESM,25,377175
4637,GESM,26,385457
4638,GESM,27,376690
4639,GESM,28,364023
4640,GESM,29,367298
4641,GESM,30,381170
4642,GESM,31,388210
4643,GESM,32,403992
4644,GESM,33,447566
4645,GESM,34,442468
4646,GESM,35,457373
4647,GESM,36,450455
4648,GESM,37,443191
4649,GESM,38,428517
4650,GESM,39,428234
4651,GESM,40,430346
4652,GESM,41,439473
4653,GESM,42,433482
4654,GESM,43,431801
4655,GESM,44,409357
4656,GESM,45,403893
4657,GESM,46,399732
4658,GESM,47,389055
4659,GESM,48,376517
4660,GESM,49,381474
4661,GESM,50,386926
4662,GESM,51,428114
4663,GESM,52,483247
4664,GESM,53,503256
4665,GESM,54,548384
4666,GESM,55,578426
4667,GESM,56,597005
4668,GESM,57,612030
4669,GESM,58,611507
4670,GESM,59,620168
4671,GESM,60,612613
4672,GESM,61,591928
4673,GESM,62,583694
4674,GESM,63,553373
4675,GESM,64,535018
4676,GESM,65,499165
4677,GESM,66,485225
4678,GESM,67,467548
4679,GESM,68,445317
4680,GESM,69,429680
4681,GESM,70,408012
4682,GESM,71,399991
4683,GESM,72,385007
4684,GESM,73,372558
4685,GESM,74,351919
4686,GESM,75,312103
4687,GESM,76,282429
4688,GESM,77,234991
4689,GESM,78,197407
4690,GESM,79,262621
4691,GESM,80,256811
4692,GESM,81,236052
4693,GESM,82,273076
4694,GESM,83,264935
4695,GESM,84,242172
4696,GESM,85,954852
9309,GESW,0,283157
9310,GESW,1,303984
9311,GESW,2,330530
9312,GESW,3,322396
9313,GESW,4,324871
9314,GESW,5,332079
9315,GESW,6,335427
9316,GESW,7,338845
9317,GESW,8,329308
9318,GESW,9,327576
9319,GESW,10,317123
9320,GESW,11,316587
9321,GESW,12,313566
9322,GESW,13,322463
9323,GESW,14,316697
9324,GESW,15,326928
9325,GESW,16,326459
9326,GESW,17,321718
9327,GESW,18,328722
9328,GESW,19,334443
9329,GESW,20,330124
9330,GESW,21,336724
9331,GESW,22,345292
9332,GESW,23,361312
9333,GESW,24,352404
9334,GESW,25,359415
9335,GESW,26,367973
9336,GESW,27,358839
9337,GESW,28,348007
9338,GESW,29,352254
9339,GESW,30,366308
9340,GESW,31,377022
9341,GESW,32,392679
9342,GESW,33,435080
9343,GESW,34,431833
9344,GESW,35,444955
9345,GESW,36,438724
9346,GESW,37,436493
9347,GESW,38,422123
9348,GESW,39,422463
9349,GESW,40,425024
9350,GESW,41,435194
9351,GESW,42,434007
9352,GESW,43,434243
9353,GESW,44,412086
9354,GESW,45,406018
9355,GESW,46,400731
9356,GESW,47,392660
9357,GESW,48,379976
9358,GESW,49,386726
9359,GESW,50,390845
9360,GESW,51,432065
9361,GESW,52,485811
9362,GESW,53,507187
9363,GESW,54,549755
9364,GESW,55,578814
9365,GESW,56,598493
9366,GESW,57,614723
9367,GESW,58,614568
9368,GESW,59,629106
9369,GESW,60,625673
9370,GESW,61,608769
9371,GESW,62,604047
9372,GESW,63,579893
9373,GESW,64,564832
9374,GESW,65,530210
9375,GESW,66,517517
9376,GESW,67,500521
9377,GESW,68,483005
9378,GESW,69,473320
9379,GESW,70,456592
9380,GESW,71,450772
9381,GESW,72,439920
9382,GESW,73,431520
9383,GESW,74,411090
9384,GESW,75,367473
9385,GESW,76,341306
9386,GESW,77,291955
9387,GESW,78,253717
9388,GESW,79,339155
9389,GESW,80,338206
9390,GESW,81,320234
9391,GESW,82,383882
9392,GESW,83,389888
9393,GESW,84,368129
9394,GESW,85,1811726
