,Jahr,Staatsangehörigkeit,Value
0,2000,Insgesamt,186672
1,2001,Insgesamt,178098
2,2002,Insgesamt,154547
3,2003,Insgesamt,140731
4,2004,Insgesamt,127153
5,2005,Insgesamt,117241
6,2006,Insgesamt,124566
7,2007,Insgesamt,113030
8,2008,Insgesamt,94474
9,2009,Insgesamt,96122
10,2010,Insgesamt,101570
11,2011,Insgesamt,106897
12,2012,Insgesamt,112348
13,2013,Insgesamt,112353
14,2014,Insgesamt,108422
15,2015,Insgesamt,107317
16,2016,Insgesamt,110383
17,2017,Insgesamt,112211
18,2018,Insgesamt,112345
19,2019,Insgesamt,128895
20,2020,Insgesamt,109870
21,2021,Insgesamt,131580
22,2022,Insgesamt,168765
23,2023,Insgesamt,200090
